mean,regionname
0.206891356375,Ocala, FL
0.103676355388,Southeast Alabama nonmetropolitan area
0.355673542956,Albany, GA
3.48173753785e-12,Palm Bay-Melbourne-Titusville, FL
0.106621504142,Lafayette, LA
2.41177675591e-06,Ogden-Clearfield, UT
2.00045513792e-07,Vallejo-Fairfield, CA
0.211848455389,Huntsville, AL
0.175626185381,Jonesboro, AR
6.88346389483e-13,San Francisco-Oakland-Hayward, CA
0.519024720589,Racine, WI
0.144934942722,Alexandria, LA
2.3225249812e-07,Birmingham-Hoover, AL
0.123611014637,Medford, OR
0.139456990383,Columbia, MO
3.19855531747e-06,Milwaukee-Waukesha-West Allis, WI
0.263737684956,Nashua, NH-MA NECTA Division
0.21098036797,Bloomington, IN
0.904164572748,Hammond, LA
0.0496973326277,Washington Parish, Louisiana nonmetropolitan area
0.190728164529,Farmington, NM
0.148907474032,Columbia, SC
7.44288797956e-12,Albany-Schenectady-Troy, NY
0.157817555816,Chico, CA
0.269689421967,Ithaca, NY
1.85784543635e-06,Central New York nonmetropolitan area
0.623527481707,Rochester, NY
0.211931918572,Johnstown, PA
0.805100254322,Shreveport-Bossier City, LA
5.62150956455e-07,Lakeland-Winter Haven, FL
0.0881793968788,Southeast Kansas nonmetropolitan area
1.87256910939e-12,Riverside-San Bernardino-Ontario, CA
5.19263849867e-07,Spartanburg, SC
0.429046592467,Kokomo, IN
1.15402253495e-06,Grand Rapids-Wyoming, MI
0.183438062216,Fort Collins, CO
0.204893889487,Champaign-Urbana, IL
0.360891541163,Glens Falls, NY
0.802094602641,Lexington-Fayette, KY
0.090291070346,Southeast Coastal North Carolina nonmetropolitan area
0.08649346403,Southeast Idaho nonmetropolitan area
0.139961295619,Wilmington, NC
0.121216868865,Southeast Alaska nonmetropolitan area
0.195592737151,Midland, TX
0.111643908852,Gainesville, FL
2.9575182987e-12,Seattle-Bellevue-Everett, WA Metropolitan Division
0.347234359889,Eau Claire, WI
7.65477791647e-07,Augusta-Richmond County, GA-SC
3.45404657418e-07,Tampa-St. Petersburg-Clearwater, FL
2.73228386101,Gary, IN Metropolitan Division
0.228867637761,Merced, CA
4.58462376332e-13,Oxnard-Thousand Oaks-Ventura, CA
0.231784511256,Colorado Springs, CO
1.11877017511e-06,Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Division
0.147179340706,Erie, PA
0.20662182138,Muskegon, MI
1.01003580706e-06,Jacksonville, NC
0.245710636344,Davenport-Moline-Rock Island, IA-IL
0.156546238388,Reno, NV
0.122832130564,Louisville/Jefferson County, KY-IN
0.130615331353,Asheville, NC
0.0689220513693,East Washington nonmetropolitan area
1.15284047002e-13,San Francisco-Redwood City-South San Francisco, CA Metropolitan Division
1.49406269796e-06,Cape Coral-Fort Myers, FL
0.218062397189,Lower Savannah South Carolina nonmetropolitan area
0.0945484765298,Southeast Nebraska nonmetropolitan area
6.22600903357e-13,Miami-Fort Lauderdale-West Palm Beach, FL
1.4950538194e-11,Indianapolis-Carmel-Anderson, IN
0.563644362924,Jefferson City, MO
0.243247448398,Springfield, MO
2.04574306507e-06,Killeen-Temple, TX
0.223019415938,Chattanooga, TN-GA
0.412157441182,Central Kentucky nonmetropolitan area
0.137218045916,Sierra Vista-Douglas, AZ
0.25124999479,Wichita, KS
8.05599000908e-07,Montgomery County-Bucks County-Chester County, PA Metropolitan Division
0.281282554729,Pittsfield, MA
0.15326913035,Richmond, VA
0.103118231922,Boulder, CO
0.271728650964,Lansing-East Lansing, MI
0.150362802436,Nantucket Island and Martha's Vineyard nonmetropolitan area
0.168722319636,Auburn-Opelika, AL
3.6867041038e-12,Virginia Beach-Norfolk-Newport News, VA-NC
1.01466015713e-06,College Station-Bryan, TX
0.272424528902,Dayton, OH
4.99715150682e-07,Kingsport-Bristol-Bristol, TN-VA
0.217030554918,Winston-Salem, NC
0.397078510407,South Central Kentucky nonmetropolitan area
5.77408887761e-06,Elkhart-Goshen, IN
1.00585320944e-13,Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division
0.430132889733,East Kentucky nonmetropolitan area
1.51461336981e-13,Los Angeles-Long Beach-Glendale, CA Metropolitan Division
0.971689019807,Flint, MI
3.6074303995e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV
0.484178982858,Florence, SC
0.626204464931,Vineland-Bridgeton, NJ
4.82698339232e-07,Chambersburg-Waynesboro, PA
1.42134987445e-07,San Diego-Carlsbad, CA
0.0278705226009,Piedmont North Carolina nonmetropolitan area
2.05163709377e-07,Huntington-Ashland, WV-KY-OH
2.39575467108e-12,Taunton-Middleborough-Norton, MA NECTA Division
0.288808386289,Manchester, NH
0.579462832621,Wenatchee, WA
4.50191069691e-13,San Luis Obispo-Paso Robles-Arroyo Grande, CA
1.10797426069e-09,Buffalo-Cheektowaga-Niagara Falls, NY
1.51949668859e-17,Chicago-Naperville-Arlington Heights, IL Metropolitan Division
2.20437093043e-07,Central-Southeastern Wyoming nonmetropolitan area
0.253941889569,Myrtle Beach-Conway-North Myrtle Beach, SC-NC
0.674199951629,Abilene, TX
5.22983270764e-07,Bend-Redmond, OR
0.650291725854,Trenton, NJ
0.254252813372,Dover, DE
0.357963716189,Hattiesburg, MS
0.720519546869,Grand Island, NE
0.257518510528,Casper, WY
0.263484519126,Bloomington, IL
0.0831762588377,Santa Cruz-Watsonville, CA
0.146370695494,Northeast Wyoming nonmetropolitan area
0.374169788978,Baton Rouge, LA
2.42090493314e-07,Parkersburg-Vienna, WV
5.03365441726e-07,Houston-The Woodlands-Sugar Land, TX
4.84375108786e-06,California-Lexington Park, MD
0.179860314875,Madison, WI
0.300354905044,Lynchburg, VA
1.55053979068e-17,New York-Jersey City-White Plains, NY-NJ Metropolitan Division
0.455526060958,Bellingham, WA
0.0652377918373,Central Washington nonmetropolitan area
0.304203582495,Longview, TX
0.32691033834,Springfield, MA-CT
0.387623170258,Appleton, WI
0.294151238014,El Centro, CA
0.394605185721,Brunswick, GA
0.179189612791,Montgomery, AL
0.347680864486,Monroe, LA
0.582719863295,Topeka, KS
0.10093597033,Ocean City, NJ
3.26220829902e-06,Norwich-New London-Westerly, CT-RI
0.13246203118,Flagstaff, AZ
0.152954182205,Tyler, TX
4.30882137566e-12,Anniston-Oxford-Jacksonville, AL
0.647310501182,Kansas City, MO-KS
0.163849058554,Valdosta, GA
1.01613847983e-06,Dover-Durham, NH-ME
0.564153165893,Cumberland, MD-WV
0.174254839321,Danbury, CT
0.18473067623,Sebastian-Vero Beach, FL
0.263396046095,Elizabethtown-Fort Knox, KY
2.62821894535e-13,Los Angeles-Long Beach-Anaheim, CA
0.364708999901,Waterbury, CT
0.374615544212,Idaho Falls, ID
0.0711467650117,Barnstable Town, MA
1.16122839775e-12,Peabody-Salem-Beverly, MA NECTA Division
0.36052422646,Philadelphia, PA Metropolitan Division
2.6121382465e-11,Detroit-Warren-Dearborn, MI
0.368583502847,Hagerstown-Martinsburg, MD-WV
0.188021166636,Tucson, AZ
8.44942158736e-07,Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
0.286564685929,San Juan-Carolina-Caguas, PR
4.44918374369e-06,Salt Lake City, UT
0.554563792028,Burlington, NC
6.43243634335e-13,Bridgeport-Stamford-Norwalk, CT
0.235438134161,Bakersfield, CA
0.179144222753,Modesto, CA
0.416885943687,Brownsville-Harlingen, TX
3.55237806001e-07,Mount Vernon-Anacortes, WA
0.573934251598,Rochester, MN
0.275018655809,Syracuse, NY
1.98883894871e-07,North Port-Sarasota-Bradenton, FL
2.20570589535e-11,Greenville-Anderson-Mauldin, SC
2.5054145912e-12,Chicago-Naperville-Elgin, IL-IN-WI
0.141248574839,Northwest Wyoming nonmetropolitan area
0.198055633445,Grand Junction, CO
0.972586252135,Dutchess County-Putnam County, NY Metropolitan Division
5.90552838054e-13,Boston-Cambridge-Nashua, MA-NH
8.00263521947e-11,Greensboro-High Point, NC
0.402934841385,Muncie, IN
3.44283902982e-17,New York-Newark-Jersey City, NY-NJ-PA
0.294209439311,Kingston, NY
1.44639024127,Michigan City-La Porte, IN
3.41937944124e-12,Seattle-Tacoma-Bellevue, WA
0.181278877604,Pensacola-Ferry Pass-Brent, FL
0.54567553524,Bismarck, ND
0.294201955221,Yakima, WA
1.42792899276,Clarksville, TN-KY
6.02269077006e-07,Tacoma-Lakewood, WA Metropolitan Division
0.270695056379,Savannah, GA
3.9172866979e-06,Dallas-Fort Worth-Arlington, TX
3.898569213e-08,Naples-Immokalee-Marco Island, FL
0.0835473389508,Southeast Missouri nonmetropolitan area
1.78647664547e-07,Santa Maria-Santa Barbara, CA
6.46665009741e-12,Charlotte-Concord-Gastonia, NC-SC
0.0880261302562,Southeast Iowa nonmetropolitan area
0.232901758511,Upper Savannah South Carolina nonmetropolitan area
0.21979924054,Knoxville, TN
0.248128596352,Durham-Chapel Hill, NC
6.88572453632e-13,Phoenix-Mesa-Scottsdale, AZ
0.303822661934,Decatur, IL
2.27662182508e-12,Fayetteville-Springdale-Rogers, AR-MO
1.5202522404e-13,Boston-Cambridge-Newton, MA NECTA Division
3.66638088452e-12,Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division
0.209708576799,Roanoke, VA
3.90338719949e-12,Brockton-Bridgewater-Easton, MA NECTA Division
1.72326432488e-12,Crestview-Fort Walton Beach-Destin, FL
0.746463913041,Lawrence, KS
0.113612548875,Worcester, MA-CT
0.243685030282,Yuma, AZ
0.229280518509,Des Moines-West Des Moines, IA
2.0120091687e-06,Pittsburgh, PA
0.561314379632,Hot Springs, AR
1.75785306923e-17,McAllen-Edinburg-Mission, TX
0.190321118775,Tulsa, OK
0.304888727079,Springfield, IL
2.13825014458e-12,Lynn-Saugus-Marblehead, MA NECTA Division
0.118339011203,Reading, PA
0.139411121058,Tuscaloosa, AL
2.19910584186e-18,Warren-Troy-Farmington Hills, MI Metropolitan Division
0.357036791175,Lake County-Kenosha County, IL-WI Metropolitan Division
0.709292916902,Bay City, MI
0.511858465205,Fargo, ND-MN
0.354976917425,Terre Haute, IN
0.73094777097,Athens-Clarke County, GA
0.108272298684,Santa Rosa, CA
0.435840733586,West Kentucky nonmetropolitan area
6.02891774149e-07,Fort Wayne, IN
0.629691632077,Scranton--Wilkes-Barre--Hazleton, PA
0.34301446332,Lancaster, PA
0.362601956098,Saginaw, MI
2.21889524045e-06,Austin-Round Rock, TX
1.79092986571e-06,Olympia-Tumwater, WA
0.188081119543,Dalton, GA
9.44949951505e-07,Lewiston-Auburn, ME
0.274065440752,Rocky Mount, NC
0.213046202784,Fresno, CA
0.842286299632,Fort Worth-Arlington, TX Metropolitan Division
0.179999763946,Redding, CA
0.16773082981,Wilmington, DE-MD-NJ Metropolitan Division
1.74360785181e-06,Providence-Warwick, RI-MA
0.0883326635014,Southeast Mississippi nonmetropolitan area
0.207283000827,Anchorage, AK
2.00888470118e-16,Allentown-Bethlehem-Easton, PA-NJ
6.24125040573e-07,Stockton-Lodi, CA
0.228716273284,Albuquerque, NM
4.50641503588e-13,Kahului-Wailuku-Lahaina, HI
4.11240433531e-13,Hilton Head Island-Bluffton-Beaufort, SC
0.160411236879,Midland, MI
0.0864620172986,Urban Honolulu, HI
0.213363750318,Cleveland, TN
0.613126414895,Panama City, FL
1.21822079342,Gulfport-Biloxi-Pascagoula, MS
7.40362642478e-07,Canton-Massillon, OH
0.305393106116,Mobile, AL
0.290052211021,Longview, WA
1.29473395027e-06,Daphne-Fairhope-Foley, AL
0.272087932075,Cincinnati, OH-KY-IN
0.127717053193,Mansfield, OH
9.38603303252e-07,Minneapolis-St. Paul-Bloomington, MN-WI
1.87179060757e-06,Southwest New York nonmetropolitan area
0.115871400997,Prescott, AZ
